"id","nome","numero","ano","datApresentacao","txtEmenta","txtExplicacaoEmenta","qtdAutores","indGenero","qtdOrgaosComEstado","tipoProposicao.id","tipoProposicao.sigla","tipoProposicao.nome","orgaoNumerador.id","orgaoNumerador.sigla","orgaoNumerador.nome","codRegime","txtRegime","apreciacao.id","txtApreciacao","txtNomeAutor","idecadastro","codPartido","txtSiglaPartido","txtSiglaUF","datDespacho","txtDespacho","situacao.id","situacao.descricao","codOrgaoEstado","siglaOrgaoEstado","codProposicaoPrincipal","proposicaoPrincipal"
"213196","PL 3489/1992","3489","1992","30/12/1992","DISPÕE SOBRE A CONCESSÃO DE SUBVENÇÃO ECONOMICA NAS OPERAÇÕES DE CREDITO RURAL REALIZADAS COM PRODUTORES RURAIS DO SEMI-ARIDO DO NORDESTE.","
    ","1","o","1","139","PL","Projeto de Lei","180","PLEN      ","PLENÁRIO","14","Ordinária (Art. 151, III, RICD)","5","Proposição Sujeita à Apreciação do Plenário","SENADO FEDERAL - HUMBERTO LUCENA","
      ","
      ","PMDB      ","PB","
      ","
      ","923","Arquivada","4","MESA      ","0","
        "
"213151","PL 3484/1992","3484","1992","23/12/1992","DISPÕE SOBRE AS CONDIÇÕES A SEREM APLICADAS AS DEMANDAS JUDICIAIS RELATIVAS A PREVIDÊNCIA SOCIAL.","DETERMINANDO A APLICAÇÃO DE RITO SUMARISSIMO, A ISENÇÃO DE CUSTAS, E O PAGAMENTO EXECUTADO INDEPENDENTEMENTE DE PRECATORIOS, AS DEMANDAS JUDICIAIS DE VALOR SUPERIOR A CR$ 1.000.000,00 E INFERIOR A 3.000.000,00 DESDE QUE AUTORIZADO PELO PROCURADOR ESTADUAL DO INSS). - PODER CONCLUSIVO DAS COMISSÕES - ARTIGO 24, INCISO II. BLOCO 3.","1","o","1","139","PL","Projeto de Lei","180","PLEN      ","PLENÁRIO","14","Ordinária (Art. 151, III, RICD)","4","Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II","GERALDO ALCKMIN FILHO","
      ","128","PSDB      ","SP","
      ","
      ","923","Arquivada","4","MESA      ","0","
        "
"211207","PL 3271/1992","3271","1992","23/12/1992","MODIFICA O DECRETO-LEI 2404, DE 23 DE DEZEMBRO DE 1987, DISPÕE SOBRE O ADICIONAL AO FRETE PARA A RENOVAÇÃO DA MARINHA MERCANTE E O FUNDO DE MARINHA MERCANTE E DA OUTRAS PROVIDENCIAS.","
    ","1","o","1","139","PL","Projeto de Lei","180","PLEN      ","PLENÁRIO","14","Ordinária (Art. 151, III, RICD)","4","Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II","CARLOS SANT'ANNA","
      ","134","PT        ","RJ","
      ","
      ","923","Arquivada","4","MESA      ","0","
        "
"211648","PL 3319/1992","3319","1992","22/12/1992","DISPÕE SOBRE O FUNDO PARTIDARIO E A ORGANIZAÇÃO DOS PARTIDOS POLITICOS.","OBJETIVANDO O FORTALECIMENTO DA ESTRUTURA PARTIDARIA, DISCIPLINANDO A UTILIZAÇÃO PELOS PARTIDOS DO RADIO E TELEVISÃO, DO FUNDO PARTIDARIO, E SUA PRESENÇA NAS CEDULAS OFICIAIS IMPRESSAS).","1","o","1","139","PL","Projeto de Lei","180","PLEN      ","PLENÁRIO","14","Ordinária (Art. 151, III, RICD)","5","Proposição Sujeita à Apreciação do Plenário","ALVARO VALLE","
      ","110","PL        ","RJ","
      ","
      ","923","Arquivada","4","MESA      ","0","
        "
"41359","PL 3367/1992","3367","1992","22/12/1992","Institui o programa experimental de incentivo a produção de borracha na Amazônia - PROBAM, e dá outras providências.","
    ","1","o","1","139","PL","Projeto de Lei","180","PLEN      ","PLENÁRIO","99",".","99",".","PAUDERNEY AVELINO","74095","102","PDC       ","AM","
      ","
      ","923","Arquivada","4","MESA      ","0","
        "
"211692","PL 3324/1992","3324","1992","21/12/1992","REGULAMENTA O ARTIGO 178 DA CONSTITUIÇÃO FEDERAL.","DEFININDO OS OBJETIVOS DA POLITICA BRASILEIRA DA MARINHA MERCANTE, REGULAMENTANDO O DISPOSTO NA Constituição Federal de 1988). - PODER CONCLUSIVO DAS COMISSÕES - ARTIGO 24, INCISO II.","1","o","1","139","PL","Projeto de Lei","180","PLEN      ","PLENÁRIO","14","Ordinária (Art. 151, III, RICD)","4","Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II","LUIZ SALOMÃO","74339","104","PDT       ","RJ","
      ","
      ","923","Arquivada","4","MESA      ","0","
        "
"211845","PL 3341/1992","3341","1992","21/12/1992","ACRESCENTA PARAGRAFO AO ARTIGO 38 DA LEI Nº 4.595, DE 31 DE DEZEMBRO DE 1964, QUE 'DISPÕE SOBRE A POLITICA E AS INSTITUIÇÕES MONETARIAS, BANCARIAS E CREDITICIAS, CRIA O CONSELHO MONETARIO NACIONAL E DA OUTRAS PROVIDENCIAS'.","
    ","1","o","1","139","PL","Projeto de Lei","180","PLEN      ","PLENÁRIO","14","Ordinária (Art. 151, III, RICD)","5","Proposição Sujeita à Apreciação do Plenário","MAGALHÃES TEIXEIRA","
      ","128","PSDB      ","SP","
      ","
      ","923","Arquivada","4","MESA      ","0","
        "
"211536","PL 3307/1992","3307","1992","21/12/1992","DEFINE A ATIVIDADE DO TRANSPORTADOR RODOVIARIO AUTONOMO DE BENS E DA OUTRAS PROVIDENCIAS.","
    ","1","o","1","139","PL","Projeto de Lei","180","PLEN      ","PLENÁRIO","14","Ordinária (Art. 151, III, RICD)","4","Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II","NILSON GIBSON","
      ","111","PMDB      ","PE","
      ","
      ","923","Arquivada","4","MESA      ","0","
        "
"211889","PL 3346/1992","3346","1992","21/12/1992","PERMITE QUE E OS DEBITOS DECORRENTES DE CONTRATO DE AQUISIÇÃO DA CASA PROPRIA, CELEBRADOS PELO SFH, SEJAM INCORPORADOS AO SALDO DEVEDOR.","
    ","1","o","1","139","PL","Projeto de Lei","180","PLEN      ","PLENÁRIO","14","Ordinária (Art. 151, III, RICD)","4","Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II","PAULO PAIM","73910","134","PT        ","RS","
      ","
      ","923","Arquivada","4","MESA      ","0","
        "
"211980","PL 3356/1992","3356","1992","21/12/1992","FIXA PRAZO PARA QUE ESTADOS, DISTRITO FEDERAL E MUNICIPIOS REQUEIRAM O PARCELAMENTO DE SEUS DEBITOS PARA COM O INSTITUTO NACIONAL DE SEGURIDADE SOCIAL - INSS.","PODENDO SER REQUERIDO EM ATE 120 DIAS CONTADOS DA DATA DE PUBLICAÇÃO DESTA LEI).","1","o","1","139","PL","Projeto de Lei","180","PLEN      ","PLENÁRIO","14","Ordinária (Art. 151, III, RICD)","5","Proposição Sujeita à Apreciação do Plenário","HELIO ROSAS","
      ","111","PMDB      ","SP","
      ","
      ","923","Arquivada","4","MESA      ","0","
        "
