"tipoSigla","descricao","ativa","genero","disponivel"
"AA","Autógrafo","True","o","erro"
"ADD","Adendo","True","o","erro"
"ANEXO","Anexo","True","o","erro"
"APJ","Anteprojeto","True","o","erro"
"ATA","Ata","True","a","ok"
"ATC","Ato Convocatório","True","o","erro"
"AV","Aviso","True","o","ok"
"AVN","Aviso (CN)","True","o","ok"
"CAC","Comunicado de alteração do controle societário","True","o","ok"
"CAE","Relatório de Atividades do Comitê de Admissibilidade de Emendas (CAE)","True","o","ok"
"CAE","Relatório","True","o","ok"
"CCN","Consulta do Congresso Nacional","True","a","erro"
"COI","Relatório do COI","True","o","ok"
"CON","Consulta","True","a","ok"
"CRVITAEDOC","Curriculum Vitae/Outro Documento","True","o","ok"
"CVO","Complementação de Voto","True","a","erro"
"CVR","Contestação ao Voto do Relator","True","a","erro"
"DCR","Denúncia por crime de responsabilidade","True","a","erro"
"DEC","Decisão","True","a","erro"
"DEN","Denúncia","True","a","erro"
"DIS","Discurso","True","o","erro"
"DOC","Documentos internos","True","o","ok"
"DOCCPI","Documento de CPI ostensivo","True","o","ok"
"DOCCPI","Documento de CPI sigiloso","True","o","ok"
"DTQ","Destaque","True","o","erro"
"DVT","Declaração de Voto","True","a","erro"
"EAG","Emenda Substitutiva Aglutinativa Global","True","a","erro"
"EMA","Emenda Aglutinativa de Plenário","True","a","ok"
"EMC","Emenda na Comissão","True","a","ok"
"EMC-A","Emenda Adotada pela Comissão","True","a","erro"
"EMD","Emenda","True","a","ok"
"EML","Emenda à LDO","True","a","erro"
"EMO","Emenda ao Orçamento","True","a","ok"
"EMP","Emenda de Plenário","True","a","ok"
"EMPV","Emenda a Medida Provisória","True","a","erro"
"EMR","Emenda de Relator","True","a","erro"
"EMRP","Emenda de Relator Parcial","True","a","erro"
"EMS","Emenda/Substitutivo do Senado","True","a","ok"
"EPP","Emenda ao Plano Plurianual","True","a","erro"
"ERD","Emenda de Redação","True","a","ok"
"ERD-A","Emenda de Redação Adotada","True","a","erro"
"ERR","Errata","True","a","ok"
"ESB","Emenda ao Substitutivo","True","a","ok"
"ESP","Emenda Substitutiva de Plenário","True","a","erro"
"INA","Indicação de Autoridade","True","a","erro"
"INC","Indicação","True","a","ok"
"MAD","Manifestação do(a) Denunciado(a)","True","a","erro"
"MAN","Manifestação do Relator","True","a","erro"
"MCN","Mensagem (CN)","True","o","ok"
"MMP","Mensagem do Ministério Público da União","True","a","erro"
"MPV","Medida Provisória","True","a","ok"
"MSC","Mensagem","True","a","ok"
"MSF","Mensagem (SF)","True","a","erro"
"MSG","Mensagem (CN)","True","a","erro"
"MST","Mensagem do Supremo Tribunal Federal","True","a","erro"
"MTC","Mensagem do Tribunal de Contas da União","True","a","erro"
"NIC","Norma Interna","True","a","erro"
"OBJ","Objeto de Deliberação","True","a","ok"
"OF","Ofício","True","o","ok"
"OF","Ofício do Congresso Nacional","True","o","ok"
"OF","Ofício do Congresso Nacional","True","o","ok"
"OF","Ofício do Senado Federal","True","o","ok"
"OF.","Ofício Externo","True","o","ok"
"OFE","Ofício de órgão do Poder Executivo","True","o","ok"
"OFJ","Ofício de órgão do Poder Judiciário","True","o","erro"
"OFN","Ofício (CN)","True","o","ok"
"OFS","Ofício do Senado Federal","True","o","erro"
"P.C","Parecer (CD)","True","o","erro"
"PAR","Parecer de Comissão","True","o","erro"
"PARF","Parecer de Comissão para Redação Final","True","o","erro"
"PDC","Projeto de Decreto Legislativo","True","o","ok"
"PDN","Projeto de Decreto Legislativo (CN)","True","o","erro"
"PDS","Projeto de Decreto Legislativo (SF)","True","o","ok"
"PEA","Parecer à Emenda Aglutinativa","True","o","erro"
"PEC","Proposta de Emenda à Constituição","True","a","ok"
"PEP","Parecer às Emendas de Plenario","True","o","erro"
"PES","Parecer às emendas apresentadas ao Substitutivo do Relator","True","o","erro"
"PET","Petição","True","a","erro"
"PFC","Proposta de Fiscalização e Controle","True","a","ok"
"PIN","Proposta de Instrução Normativa","True","a","ok"
